Uberstrain	Name	Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Bases;Average Length;Status)	Barcode	Source Niche	Source Type	Source Details	Collection Year	Collection Month	Collection Day	Collection Time	Continent	Country	Region	District	City	Post Code	Latitude	Longitude	Serovar	Subspecies	Disease	Antigenic Formulas	Lab Contact	Phage Type	Comment	Bio Project ID	Project ID	Sample ID	Secondary Sample ID	Date Entered	Release Date	Differences	ST	HC0 (indistinguishable)	HC2	HC5	HC10	HC20	HC50	HC100	HC200	HC400	HC900 (ceBG)	HC2000 (Super-lineage)	HC2600	HC2850 (subsp.)
SAL_GA9739AA	FDA727539 1-1	SRR4292706;ILLUMINA;Paired;500;SRX2188186;564036906;181	SAL_GA9739AA	Animal Feed	Unspecified Meat	pet treat:genepio_0001056, trachea:uberon_0003126; animal feed; pet treat trachea 6in	2011	11			South America	Colombia							Agona	I			FDA/CFSAN			PRJNA186035	SRP018785	SAMN02918847	SRS1710981	2016-09-24	2015-01-01	NaN	51811	51811	51811	28	28	28	28	28	28	28	28	28	28	2
SAL_HA6942AA	FSIS1608902	SRR5110093;ILLUMINA;Paired;300;SRX2422481;299091600;150	SAL_HA6942AA	Livestock	Swine	animal-swine-market swine	2016				North America	United States	Minnesota						Agona	I			USDA FSIS			PRJNA292666	SRP062916	SAMN06140455	SRS1859607	2016-12-15	2016-12-14	NaN	55864	55864	55864	28	28	28	28	28	28	28	28	28	28	2
SAL_IA5559AA	FSIS1710238	SRR5251093;ILLUMINA;Paired;300;SRX2556818;419763600;150	SAL_IA5559AA	Livestock	Swine	animal-swine-market swine	2017				North America	United States	Iowa						Agona	I			USDA FSIS			PRJNA292666	SRP062916	SAMN06328264	SRS1974213	2017-02-14	2017-02-13	NaN	63733	63733	28	28	28	28	28	28	28	28	28	28	28	2
SAL_KA4827AA	FSIS1702771	SRR5838417;ILLUMINA;Paired;300;SRX3014709;355974600;150	SAL_KA4827AA	Livestock	Swine	Product-Raw-Ground, Comminuted or Otherwise Nonintact-Pork	2017				North America	United States	Wisconsin						Agona	I			USDA FSIS			PRJNA242847	SRP040648	SAMN07362423	SRS2364407	2017-07-20	2017-07-18	NaN	78614	78614	28	28	28	28	28	28	28	28	28	28	28	2
SAL_MA5036AA	FSIS1702657	SRR6255085;ILLUMINA;Paired;300;SRX3361600;416578560;148	SAL_MA5036AA	Livestock	Swine	animal-swine-market swine	2017				North America	United States	Iowa						Agona	I			USDA FSIS			PRJNA292666	SRP062916	SAMN07975048	SRS2660288	2017-11-04	2017-11-03	NaN	96034	96034	28	28	28	28	28	28	28	28	28	28	28	2
SAL_QA1166AA	FSIS11810196	SRR7267893;ILLUMINA;Paired;500;SRX4171732;;	SAL_QA1166AA	Livestock	Swine	animal-swine-sow	2018				North America	United States	Pennsylvania						Agona	I			USDA FSIS			PRJNA292666	SRP062916	SAMN09372575	SRS3383436	2018-06-08	2018-06-06	NaN	124284	124284	124284	28	28	28	28	28	28	28	28	28	28	2
SAL_FA3252AA	FSIS1606026	SRR3306053;ILLUMINA;Paired;300;SRX1667173;218201044;134	SAL_FA3252AA	Livestock	Swine	animal-swine-sow	2016				North America	United States	New Jersey						Agona	I			Department of Agriculture - Food Safety and Inspection Service (US)			PRJNA292666	SRP062916	SAMN04588431	SRS1365519	2016-03-29	2016-03-28	NaN	2550	2550	2550	2550	28	28	28	28	28	28	28	28	28	2
SAL_FA0723AA	HIY0163	SRR3182473;ILLUMINA;Paired;500;SRX1596656;311133120;240	SAL_FA0723AA	Environment	Water/River	sewage, sand island waste water	2010	8			North America	United States	Hawaii						Agona (predicted)	I			Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)			PRJNA274995	SRP056359	SAMN03431343	SRS1306681	2016-02-23	2015-01-01	NaN	4687	3051	3051	3051	28	28	28	28	28	28	28	28	28	2
SAL_FA2654AA	HIY0151	SRR3294522;ILLUMINA;Paired;500;SRX1661726;357084048;236	SAL_FA2654AA	Environment	Water/River	sewage, sand island waste water	2010	8			North America	United States	Hawaii						Agona (predicted)	I			Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)			PRJNA274995	SRP056359	SAMN03431342	SRS1361349	2016-03-25	2015-01-01	NaN	3051	3051	3051	3051	28	28	28	28	28	28	28	28	28	2
SAL_FA2222AA	CVM-N19767	SRR3242350;ILLUMINA;Paired;500;SRX1643737;515744640;230	SAL_FA2222AA	Poultry	Poultry	ground turkey	2008				North America	United States	Colorado						Agona				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)			PRJNA183847	SRP028894	SAMN04218203	SRS1349719	2016-03-19	2015-01-01	NaN	3429	3429	3429	3429	28	28	28	28	28	28	28	28	28	2
SAL_FA1486AA	Derby	SRR3205686;ILLUMINA;Paired;;SRX1614846;238442400;228	SAL_FA1486AA	Human	Human	Age: 5-9; stool	2010	10			North America	United States							Agona (Predicted)				PulseNet Next Generation Subtyping Methods Unit			PRJNA230403	SRP040281	SAMN04485984	SRS1324694	2016-03-07	2016-03-02	NaN	4028	4028	4028	4028	28	28	28	28	28	28	28	28	28	2
SAL_DA9006AA	VA_WGS-00014	SRR1188541;ILLUMINA;Paired;500;SRX485668;392201792;236	SAL_DA9006AA	Livestock	Bovine	Bos taurus; cow	2006	4			North America	United States	Virginia						Agona	I			Food Safety and Inspection Service (US)			PRJNA219491	SRP033708	SAMN02403235	SRS569797	2015-08-27	2014-03-12	NaN	14272	14272	12981	12980	28	28	28	28	28	28	28	28	28	2
SAL_DA9058AA	VA_WGS-00013	SRR1188449;ILLUMINA;Paired;500;SRX485557;479994264;236	SAL_DA9058AA	Livestock	Bovine	Bos taurus; cow	2006	3			North America	United States	Virginia						Agona	I			FDA/CFSAN			PRJNA219491	SRP033708	SAMN02403234	SRS569689	2015-08-27	2014-03-12	NaN	14272	14272	12981	12980	28	28	28	28	28	28	28	28	28	2
SAL_DA9075AA	VA_WGS-00016	SRR1188431;ILLUMINA;Paired;500;SRX485540;213909640;238	SAL_DA9075AA	Poultry	Poultry	Turkey; turkey	2006	7			North America	United States	Virginia						Agona	I			Food Safety and Inspection Service (US)			PRJNA219491	SRP033708	SAMN02403237	SRS569672	2015-08-27	2014-03-12	NaN	14256	14256	12981	12980	28	28	28	28	28	28	28	28	28	2
SAL_EA0505AA	VA_WGS-00012	SRR3475647;ILLUMINA;Paired;500;SRX1742336;;,SRR1047605;ILLUMINA;Paired;500;SRX390196;427055040;237,SRR3474709;ILLUMINA;Paired;500;SRX1741801;;	SAL_EA0505AA	Livestock	Bovine	Bos taurus; cow	2006	1			North America	United States	Virginia						Agona	I			FDA/CFSAN			PRJNA219491	SRP033708	SAMN02403233	SRS513738	2015-08-27	2013-12-11	NaN	12985	12985	12981	12980	28	28	28	28	28	28	28	28	28	2
SAL_EA0509AA	VA_WGS-00011	SRR3475641;ILLUMINA;Paired;500;SRX1742334;;,SRR1047601;ILLUMINA;Paired;500;SRX390191;794264796;234,SRR3474708;ILLUMINA;Paired;500;SRX1741800;;	SAL_EA0509AA	Livestock	Bovine	Bos taurus; cow	2006	1			North America	United States	Virginia						Agona	I			FDA/CFSAN			PRJNA219491	SRP033708	SAMN02403232	SRS513733	2015-08-27	2013-12-11	NaN	12981	12981	12981	12980	28	28	28	28	28	28	28	28	28	2
SAL_EA0510AA	VA_WGS-00010	SRR3474707;ILLUMINA;Paired;500;SRX1741799;;,SRR1047600;ILLUMINA;Paired;500;SRX390190;705386512;239,SRR3475640;ILLUMINA;Paired;500;SRX1742333;;	SAL_EA0510AA	Livestock	Bovine	Bos taurus; cow	2005	8			North America	United States	Virginia						Agona	I			FDA/CFSAN			PRJNA219491	SRP033708	SAMN02403231	SRS513732	2015-08-27	2013-12-11	NaN	12980	12980	12980	12980	28	28	28	28	28	28	28	28	28	2
SAL_DA9704AA	VA_WGS-00053	SRR1166641;ILLUMINA;Paired;500;SRX468936;427606300;241	SAL_DA9704AA	Livestock	Bovine	Bos taurus; cow	2006	2			North America	United States	Virginia						Agona	I			Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)			PRJNA219491	SRP033708	SAMN02403274	SRS556243	2015-08-27	2014-02-10	NaN	13689	13689	13689	13669	28	28	28	28	28	28	28	28	28	2
SAL_DA9717AA	VA_WGS-00052	SRR1166621;ILLUMINA;Paired;500;SRX468923;320938290;237	SAL_DA9717AA	Livestock	Bovine	Bos taurus; cow	2005	10			North America	United States	Virginia						Agona	I			Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)			PRJNA219491	SRP033708	SAMN02403273	SRS556229	2015-08-27	2014-02-10	NaN	13680	13680	13680	13669	28	28	28	28	28	28	28	28	28	2
SAL_DA9729AA	VA_WGS-00054	SRR1166601;ILLUMINA;Paired;500;SRX468910;530891592;231	SAL_DA9729AA	Livestock	Bovine	Bos taurus; cow	2006	7			North America	United States	Virginia						Agona	I			Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)			PRJNA219491	SRP033708	SAMN02403275	SRS556217	2015-08-27	2014-02-10	NaN	13669	13669	13669	13669	28	28	28	28	28	28	28	28	28	2
SAL_DA9069AA	VA_WGS-00015	SRR1188437;ILLUMINA;Paired;500;SRX485546;429699012;237	SAL_DA9069AA	Livestock	Bovine	Bos taurus; cow	2006	6			North America	United States	Virginia						Agona	I			Food Safety and Inspection Service (US)			PRJNA219491	SRP033708	SAMN02403236	SRS569678	2015-08-27	2014-03-12	NaN	14262	14262	14262	14262	28	28	28	28	28	28	28	28	28	2
SAL_DA8413AA	VA_WGS-00165	SRR1233942;ILLUMINA;Paired;500;SRX515711;481193520;235	SAL_DA8413AA	Poultry	Poultry	Turkey; turkey	2006	7			North America	United States	Virginia						Agona	I			Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)			PRJNA219491	SRP033708	SAMN02403386	SRS591490	2015-08-27	2014-04-12	NaN	14829	14829	14829	14829	28	28	28	28	28	28	28	28	28	2
SAL_DA5968AA	MDH-2014-00355	SRR1501654;ILLUMINA;Paired;500;SRX641641;465686382;233	SAL_DA5968AA	Livestock	Equine	Equine Feces	2002	9			North America	United States	Minnesota						Agona	I			Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)			PRJNA215333	SRP032981	SAMN02699521	SRS650586	2015-08-27	2014-06-30	NaN	16493	16493	16493	16493	28	28	28	28	28	28	28	28	28	2
SAL_DA6175AA	MDH-2014-00323	SRR1448928;ILLUMINA;Paired;500;SRX620868;454295508;199	SAL_DA6175AA	Livestock	Equine	equine feces	2002	10			North America	United States	Minnesota						Agona	I			Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)			PRJNA215333	SRP032981	SAMN02699489	SRS645271	2015-08-27	2014-06-23	NaN	16493	16493	16493	16493	28	28	28	28	28	28	28	28	28	2
SAL_DA6417AA	MDH-2014-00296	SRR1384856;ILLUMINA;Paired;500;SRX592872;444998310;237	SAL_DA6417AA	Livestock	Equine	Equine Feces	2002	9			North America	United States	Minnesota						Agona	I			Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)			PRJNA215333	SRP032981	SAMN02699462	SRS635370	2015-08-27	2014-06-12	NaN	16493	16493	16493	16493	28	28	28	28	28	28	28	28	28	2
SAL_GA3078AA	BCW_4362	SRR1133228;ILLUMINA;Paired;250;SRX441952;581183454;97	SAL_GA3078AA	Human	Human	Homo sapiens	2006				North America	United States	Connecticut						Agona	I			University of California Davis - 100K Genome Project			PRJNA203445	SRP022914	SAMN02368960	SRS538861	2016-07-01	2015-07-22	NaN	42931	42931	42931	16493	28	28	28	28	28	28	28	28	28	2
SAL_MA6866AA	FSL R8-8619	SRR6311938;ILLUMINA;Paired;500;SRX3412200;633560560;229	SAL_MA6866AA	Food	Dairy	farm environment	2011				North America	United States	New York						Agona	I			FDA Center for Food Safety and Applied Nutrition			PRJNA280335	SRP059853	SAMN08048795	SRS2705416	2017-11-21	2017-11-21	NaN	98535	98535	42931	16493	28	28	28	28	28	28	28	28	28	2
SAL_MA6938AA	FSL R8-8615	SRR6311208;ILLUMINA;Paired;500;SRX3411474;574717548;226	SAL_MA6938AA	Food	Dairy	farm environment	2011				North America	United States	New York						Agona	I			FDA Center for Food Safety and Applied Nutrition			PRJNA280335	SRP059853	SAMN08046058	SRS2704721	2017-11-21	2017-11-21	NaN	98758	98758	42931	16493	28	28	28	28	28	28	28	28	28	2
SAL_CB8226AA	CVM 24330	SRR11457562;ILLUMINA;Paired;;SRX8035344;;	SAL_CB8226AA	Livestock	Swine	swine	2001				North America	United States	Missouri						['Agona',				FDA-CVM			PRJNA622256	SRP254729	SAMN14504687	SRS6407587	2020-04-02	2020-04-02	NaN	229862	229862	229862	16493	28	28	28	28	28	28	28	28	28	2
SAL_CB8227AA	CVM 24329	SRR11457563;ILLUMINA;Paired;;SRX8035343;;	SAL_CB8227AA	Livestock	Swine	swine	2001				North America	United States	Missouri						['Agona',				FDA-CVM			PRJNA622256	SRP254729	SAMN14504686	SRS6407586	2020-04-02	2020-04-02	NaN	229831	229831	229831	16493	28	28	28	28	28	28	28	28	28	2
SAL_CB8228AA	CVM 24328	SRR11457564;ILLUMINA;Paired;;SRX8035342;;	SAL_CB8228AA	Livestock	Swine	swine	2001				North America	United States	Missouri						['Agona',				FDA-CVM			PRJNA622256	SRP254729	SAMN14504685	SRS6407585	2020-04-02	2020-04-02	NaN	229830	229830	42931	16493	28	28	28	28	28	28	28	28	28	2
SAL_CB8424AA	CVM 22433	SRR11457760;ILLUMINA;Paired;;SRX8035146;;	SAL_CB8424AA	Livestock	Bovine	bovine	2003				North America	United States	Arizona						['Agona',				FDA-CVM			PRJNA622256	SRP254729	SAMN14504593	SRS6407389	2020-04-02	2020-04-02	NaN	229685	229685	229685	16493	28	28	28	28	28	28	28	28	28	2
SAL_GA3080AA	BCW_4358	SRR1133230;ILLUMINA;Paired;250;SRX441949;941244738;97	SAL_GA3080AA	Human	Human	Homo sapiens	2005				North America	United States	Massachusetts						Agona	I			University of California Davis - 100K Genome Project			PRJNA203445	SRP022914	SAMN02368957	SRS538858	2016-07-01	2015-07-22	NaN	42929	42929	42929	42929	28	28	28	28	28	28	28	28	28	2
SAL_GA2892AA	CRJJGF_00019	SRR1686494;ILLUMINA;Paired;;SRX791372;399022110;97	SAL_GA2892AA	Livestock	Swine	swine	2005				North America	United States							Agona				Agricultural Research Service, United States Department of Agriculture			PRJNA254816	SRP050382	SAMN02908526	SRS775286	2016-07-01	2015-12-01	NaN	43091	43091	43091	43091	28	28	28	28	28	28	28	28	28	2
SAL_GA1816AA	BCW_4345	SRR1816134;ILLUMINA;Paired;;SRX888506;415861776;99	SAL_GA1816AA	Laboratory	Laboratory	culture													Agona (Predicted)				University of California Davis - 100K Genome Project			PRJNA203445	SRP022914	SAMN03358061	SRS854172	2016-06-30	2016-02-24	NaN	43880	43880	43880	43880	28	28	28	28	28	28	28	28	28	2
SAL_FA8834AA	CVM N29318	SRR3664979;ILLUMINA;Paired;;SRX1843487;244252308;263	SAL_FA8834AA	Livestock	Swine	Pork Chop	2011				North America	United States	Maryland						Agona				FDA			PRJNA292661	SRP063697	SAMN05201497	SRS1502383	2016-06-30	2016-06-21	NaN	47072	47072	47072	43928	28	28	28	28	28	28	28	28	28	2
SAL_GA1766AA	N29318	SRR1840614;ILLUMINA;Paired;;SRX902648;918305864;98	SAL_GA1766AA	Livestock	Swine	Pork Chop	2011				North America	United States	Maryland						Agona	I			University of California at Davis 100K Pathogen Genome Project			PRJNA203445	SRP022914	SAMN02367949	SRS865409	2016-06-30	2016-03-05	NaN	43928	43928	43928	43928	28	28	28	28	28	28	28	28	28	2
SAL_GA1633AA	BCW_4375	SRR1840747;ILLUMINA;Paired;;SRX902781;657822844;98	SAL_GA1633AA	Human	Human	Homo sapiens	2007				North America	United States	Iowa						Agona	I			University of California Davis - 100K Genome Project			PRJNA203445	SRP022914	SAMN02368972	SRS865276	2016-06-30	2016-03-05	NaN	44068	44068	44068	44068	28	28	28	28	28	28	28	28	28	2
SAL_GA1626AA	BCW_4383	SRR1840754;ILLUMINA;Paired;;SRX902788;519014468;98	SAL_GA1626AA	Human	Human	Homo sapiens	2005				North America	United States	Texas						Agona	I			University of California Davis - 100K Genome Project			PRJNA203445	SRP022914	SAMN02368979	SRS865268	2016-06-30	2016-03-05	NaN	44074	44074	44074	44071	28	28	28	28	28	28	28	28	28	2
SAL_GA1631AA	BCW_4377	SRR1840749;ILLUMINA;Paired;;SRX902783;507986920;98	SAL_GA1631AA	Human	Human	Homo sapiens	2007				North America	United States	New Mexico						Agona	I			University of California Davis - 100K Genome Project			PRJNA203445	SRP022914	SAMN02368974	SRS865274	2016-06-30	2016-03-05	NaN	44071	44071	44071	44071	28	28	28	28	28	28	28	28	28	2
SAL_HA1630AA	2014AM-3343	SRR4449949;ILLUMINA;Paired;;SRX2268065;545735456;232	SAL_HA1630AA								North America	United States							Agona (Predicted)				Centers for Disease Control and Prevention Enteric Diseases Laboratory Branch			PRJNA287785	SRP082403	SAMN05941550	SRS1759249	2016-10-27	2016-10-25	NaN	51767	51767	51767	51767	28	28	28	28	28	28	28	28	28	2
SAL_IA8964AA	ADRDL-901	SRR5350412;ILLUMINA;Paired;500;SRX2646834;293979504;238	SAL_IA8964AA	Livestock	Swine	Feces (Sus scrofa domesticus)	2016	7			North America	United States	Iowa						Agona				FDA Center for Food Safety and Applied Nutrition			PRJNA280335	SRP059853	SAMN06330645	SRS2052129	2017-03-16	2017-03-16	NaN	65930	65930	65930	65930	28	28	28	28	28	28	28	28	28	2
SAL_JA0477AA	ADRDL-1039	SRR5387532;ILLUMINA;Paired;500;SRX2682555;413768160;240	SAL_JA0477AA	Wild Animal	Marsupial	Marsupial Intestine (Marsupialia)	2003	1			North America	United States	Oklahoma						Agona				FDA Center for Food Safety and Applied Nutrition			PRJNA280335	SRP059853	SAMN06333871	SRS2079833	2017-03-30	2017-03-29	NaN	68017	68017	68017	68017	28	28	28	28	28	28	28	28	28	2
SAL_JA9575AA	FDA176820	SRR5650511;ILLUMINA;Paired;500;SRX2887557;552505696;179,SRR6706588;ILLUMINA;Paired;500;SRX3680696;;	SAL_JA9575AA	Animal Feed	Unspecified Meat	bone meal	2003	4			North America	United States	Texas						Agona	I			FDA/CFSAN			PRJNA186035	SRP018785	SAMN02843633	SRS2255577	2017-06-15	2017-06-07	NaN	74282	74282	74282	68017	28	28	28	28	28	28	28	28	28	2
SAL_MA6923AA	ADRDL-1270	SRR6311229;ILLUMINA;Paired;500;SRX3411495;510738650;227	SAL_MA6923AA	Companion Animal	Canine	Canine Intestine (Canis lupus familiaris)	2006	6			North America	United States							Agona	I			FDA Center for Food Safety and Applied Nutrition			PRJNA280335	SRP059853	SAMN07965073	SRS2704739	2017-11-21	2017-11-21	NaN	98749	98749	98749	68017	28	28	28	28	28	28	28	28	28	2
SAL_MA7513AA	ADRDL-1257	SRR6313834;ILLUMINA;Paired;500;SRX3413768;617294240;215	SAL_MA7513AA	Companion Animal	Canine	Canine Intestine (Canis lupus familiaris)	2002	2			North America	United States	Oklahoma						Agona	I			FDA Center for Food Safety and Applied Nutrition			PRJNA280335	SRP059853	SAMN07965079	SRS2706951	2017-11-22	2017-11-21	NaN	98957	98957	74282	68017	28	28	28	28	28	28	28	28	28	2
SAL_NA0544AA	ADRDL-1253	SRR6354179;ILLUMINA;Paired;500;SRX3450844;196862452;214	SAL_NA0544AA	Companion Animal	Feline	Feline Feces (Felis catus)	2002	9			North America	United States	Oklahoma						Agona	I			FDA Center for Food Safety and Applied Nutrition			PRJNA280335	SRP059853	SAMN07965074	SRS2739767	2017-12-07	2017-12-06	NaN	100624	100624	68017	68017	28	28	28	28	28	28	28	28	28	2
SAL_LA0825AA	30584	SRR5991577;ILLUMINA;Paired;500;SRX3147248;422890104;227,SRR5985916;ILLUMINA;Paired;500;SRX3141855;;	SAL_LA0825AA	Livestock	Swine	Intestine (Porcine)	2015				North America	United States	Minnesota						Agona (Predicted)				FDA Center for Food Safety and Applied Nutrition			PRJNA215333	SRP032981	SAMN07420442	SRS2474595	2017-08-29	2017-08-28	NaN	84845	84845	84845	84845	28	28	28	28	28	28	28	28	28	2
SAL_LA0809AA	31353	SRR5985932;ILLUMINA;Paired;500;SRX3141871;;,SRR5991561;ILLUMINA;Paired;500;SRX3147232;408258338;241	SAL_LA0809AA	Livestock	Swine	Intestine (Porcine)	2015				North America	United States	Minnesota						Agona (Predicted)				FDA Center for Food Safety and Applied Nutrition			PRJNA215333	SRP032981	SAMN07420437	SRS2474629	2017-08-29	2017-08-28	NaN	84858	84858	84858	84858	28	28	28	28	28	28	28	28	28	2
SAL_LA6288AA	31554	SRR6108691;ILLUMINA;Paired;500;SRX3223556;364224960;240,SRR6108007;ILLUMINA;Paired;500;SRX3223445;136690380;230	SAL_LA6288AA	Livestock	Swine	Colon (Porcine)	2015				North America	United States	Minnesota										FDA Center for Food Safety and Applied Nutrition			PRJNA215333	SRP032981	SAMN07420432	SRS2548040	2017-09-28	2017-09-27	NaN	89118	89118	89118	84858	28	28	28	28	28	28	28	28	28	2
SAL_LA9984AA	34913	SRR6155646;ILLUMINA;Paired;500;SRX3267480;322703612;242	SAL_LA9984AA	Livestock	Swine	Feces (Porcine)	2015				North America	United States	Minnesota										FDA Center for Food Safety and Applied Nutrition			PRJNA215333	SRP032981	SAMN07420420	SRS2579649	2017-10-11	2017-10-10	NaN	92118	92118	92118	84858	28	28	28	28	28	28	28	28	28	2
