working_name	Uberstrain	Name	Data_Source(Accession_No.;Sequencing_Platform;Sequencing_Library;Insert_Size;Experiment;Bases;Average_Length;Status)	Barcode	Source_Niche	Source_Type	Source_Details	Collection_Year	Collection_Month	Collection_Day	Collection_Time	Continent	Country	Region	District	City	Post_Code	Latitude	Longitude	Serovar	Subspecies	Disease	Antigenic_Formulas	Lab_Contact	Phage_Type	Comment	Bio_Project_ID	Project_ID	Sample_ID	Secondary_Sample_ID	Date_Entered	Release_Date	Status	Coverage	N50	Length	Species	Contig_Number(>=200_bp)	Low_Quality_Bases	Version	Assembly_Barcode	HC0_(indistinguishable)	HC2	HC5	HC10	HC20	HC50	HC100	HC200	HC400	HC900_(ceBG)	HC2000_(Super-lineage)	HC2600	HC2850_(subsp.)	HC5_or_other	Flag	aac(3)-IId 1/80 (1%)	aac(6')-Iy 80/80 (100%)	aadA2 1/80 (1%)	ant(3'')-IIa 1/80 (1%)	aph(3')-Ia 2/80 (2%)	arr-2 1/80 (1%)	blaCMY-59 3/80 (4%)	blaCTX-M-55 1/80 (1%)	blaTEM-1 64/80 (80%)	cmlA1 1/80 (1%)	dfrA14 61/80 (76%)	floR 11/80 (14%)	fosA7 80/80 (100%)	linG 1/80 (1%)	mdsA 80/80 (100%)	mdsB 80/80 (100%)	mdsC 80/80 (100%)	mdtK 80/80 (100%)	mphA 1/80 (1%)	parC p.T57S 80/80 (100%)	qacH 1/80 (1%)	qnrS1 74/80 (92%)	strA 62/80 (78%)	strB 62/80 (78%)	sul2 3/80 (4%)	sul3 64/80 (80%)	tet(A) 74/80 (92%)	Col156 1/80 (1%)	Col440I 3/80 (4%)	ColpVC 5/80 (6%)	ColRNAI 1/80 (1%)	IncB/O/K/Z 1/80 (1%)	IncHI2 1/80 (1%)	IncHI2A 1/80 (1%)	IncI(Gamma) 2/80 (2%)	IncI1(Alpha) 7/80 (9%)	IncL/M(pMU407) 1/80 (1%)	IncL/M(pOXA-48) 1/80 (1%)	IncQ1 14/80 (18%)	IncX1 74/80 (92%)	pSL483 1/80 (1%)	csgABCDEFG 80/80 (100%)	fimCDFHI 80/80 (100%)	lpfA 80/80 (100%)	lpfB 80/80 (100%)	lpfC 80/80 (100%)	lpfE 80/80 (100%)	mgtB 80/80 (100%)	mgtC 80/80 (100%)	mig-14 80/80 (100%)	misL 79/80 (99%)	papB 2/80 (2%)	papI 2/80 (2%)	sinH 80/80 (100%)	C63PI  80/80 (100%)	SPI-1  80/80 (100%)	SPI-2  80/80 (100%)	SPI-3  80/80 (100%)	SPI-4  80/80 (100%)	SPI-5  80/80 (100%)	SPI-8  79/80 (99%)	SPI-9  80/80 (100%)
SAL_RA1578AA_AS	SAL_GA7999AA	A06	traces-0olWnTQ;ILLUMINA;Paired;;NA;1173793270;145,traces-0trElED;ILLUMINA;Paired;;NA;622917658;139	SAL_GA7999AA	Human	Laboratory	NA	2016	3	1	NA	Oceania	Australia	New South Wales	NA	NA	NA	NA	NA	Agona (Predicted)	NA	NA	NA	Qinning Wang, CIDM-Public Health, ICPMR, NSW Health Pathology	NA	NA	NA	NA	NA	NA	2017-03-28	2017-09-30	Assembled	246	304374	4770303	Salmonella enterica;90.93%	72	1164	3.61	SAL_RA1578AA_AS	48269	48269	4181	477	419	29	29	28	28	28	28	28	2	HC5-4181	https://raw.githubusercontent.com/maxlcummins/SG17-135/resubmission/flags/Australia.jpg	0	1	0	0	0	0	0	0	1	0	1	0	1	0	1	1	1	1	0	1	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1
SAL_NA2865AA_AS	SAL_HA1596AA	PNUSAS004707	SRR4449985;ILLUMINA;Paired;;SRX2268101;662107392;216	SAL_HA1596AA	Human	Human	Age: 0-4; stool	2016	9	NA	NA	North America	United States	NA	NA	NA	NA	NA	NA	Agona (Predicted)	NA	NA	NA	PulseNet Next Generation Subtyping Methods Unit	NA	NA	PRJNA230403	SRP040281	SAMN05915014	SRS1759338	2016-10-27	2016-10-25	Assembled	138	365427	4764748	Salmonella enterica;97.68%	52	2420	3.51	SAL_NA2865AA_AS	51775	51775	4181	477	419	29	29	28	28	28	28	28	2	HC5-4181	https://raw.githubusercontent.com/maxlcummins/SG17-135/resubmission/flags/USA.png	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1
SAL_OA4067AA_AS	SAL_HA2436AA	FDA980786-C002-001	SRR4774256;ILLUMINA;Paired;500;SRX2312694;378414036;198	SAL_HA2436AA	Food	Plant	CHILLI POWDER	2016	10	NA	NA	Asia	Vietnam	NA	NA	NA	NA	NA	NA	Agona (Predicted)	NA	NA	NA	Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)	NA	NA	PRJNA186035	SRP018785	SAMN05951181	SRS1770531	2016-11-03	2015-01-01	Assembled	78	358464	4839716	Salmonella enterica;93.86%	63	3381	3.51	SAL_OA4067AA_AS	54920	54905	4181	477	419	29	29	28	28	28	28	28	2	HC5-4181	https://raw.githubusercontent.com/maxlcummins/SG17-135/resubmission/flags/Vietnam.png	0	1	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	0	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1
SAL_OA4072AA_AS	SAL_HA2442AA	FDA980786-C001-001	SRR4774220;ILLUMINA;Paired;500;SRX2312688;203254920;162	SAL_HA2442AA	Food	Plant	CHILLI POWDER	2016	10	NA	NA	Asia	Vietnam	NA	NA	NA	NA	NA	NA	Agona (Predicted)	NA	NA	NA	Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)	NA	NA	PRJNA186035	SRP018785	SAMN05951184	SRS1770526	2016-11-03	2015-01-01	Assembled	42	308925	4834239	Salmonella enterica;95.17%	73	4804	3.51	SAL_OA4072AA_AS	54905	54905	4181	477	419	29	29	28	28	28	28	28	2	HC5-4181	https://raw.githubusercontent.com/maxlcummins/SG17-135/resubmission/flags/Vietnam.png	0	1	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	0	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1
SAL_SA9246AA_AS	SAL_JA6451AA	344039	SRR5583181;ILLUMINA;Paired;;SRX2841094;418993440;97	SAL_JA6451AA	Human	Human	Homo sapiens; human	2017	2	NA	NA	Europe	United Kingdom	NA	NA	NA	NA	NA	NA	Agona	I	NA	NA	Public Health England	NA	NA	PRJNA248792	SRP042645	SAMN07152369	SRS2214441	2017-05-23	2017-05-23	Assembled	87	304406	4783554	Salmonella enterica;97.15%	66	941	3.61	SAL_SA9246AA_AS	71295	71295	4181	477	419	29	29	28	28	28	28	28	2	HC5-4181	https://raw.githubusercontent.com/maxlcummins/SG17-135/resubmission/flags/United_Kindgom.png	0	1	0	0	0	0	0	0	1	0	1	0	1	0	1	1	1	1	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1
SAL_WA2841AA_AS	SAL_MA1146AA	MS170287	ERR2173667;ILLUMINA;Paired;500;ERX2230110;373023200;100	SAL_MA1146AA	Human	Human	Homo sapiens; human	2017	NA	NA	NA	Europe	Ireland	NA	NA	NA	NA	NA	NA	Agona	Subsp. I	NA	NA	University Hospital Galway	NA	NA	PRJEB18998	ERP020979	SAMEA104349009	ERS1973987	2017-10-15	2017-10-14	Assembled	78	218532	4753838	Salmonella enterica;98.51%	68	826	3.61	SAL_WA2841AA_AS	92525	92525	4181	477	419	29	29	28	28	28	28	28	2	HC5-4181	https://raw.githubusercontent.com/maxlcummins/SG17-135/resubmission/flags/Ireland.png	0	1	0	0	0	0	0	0	1	0	1	0	1	0	1	1	1	1	0	1	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1
SAL_WA9926AA_AS	SAL_MA5696AA	MS170351	ERR2193140;ILLUMINA;Paired;500;ERX2249163;333292212;99	SAL_MA5696AA	Human	Human	Homo sapiens; human	2017	NA	NA	NA	Europe	Ireland	NA	NA	NA	NA	NA	NA	Agona	Subsp. I	NA	NA	University Hospital Galway	NA	NA	PRJEB18998	ERP020979	SAMEA104375958	ERS2000936	2017-11-14	2017-11-14	Assembled	68	267619	4834525	Salmonella enterica;95.4%	67	961	3.61	SAL_WA9926AA_AS	97197	51775	4181	477	419	29	29	28	28	28	28	28	2	HC5-4181	https://raw.githubusercontent.com/maxlcummins/SG17-135/resubmission/flags/Ireland.png	0	1	0	0	0	0	0	0	1	0	1	1	1	0	1	1	1	1	0	1	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1
SAL_XA1299AA_AS	SAL_MA7310AA	PNUSAS027905	SRR6310288;ILLUMINA;Paired;;SRX3410566;438023040;192	SAL_MA7310AA	Human	Human	Age: 20-29; stool	2017	10	NA	NA	North America	United States	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PulseNet Next Generation Subtyping Methods Unit	NA	NA	PRJNA230403	SRP040281	SAMN07988989	SRS2703801	2017-11-21	2017-11-20	Assembled	88	271624	4926334	Salmonella enterica;91.94%	77	3079	3.61	SAL_XA1299AA_AS	98214	98214	4181	477	419	29	29	28	28	28	28	28	2	HC5-4181	https://raw.githubusercontent.com/maxlcummins/SG17-135/resubmission/flags/USA.png	0	1	0	0	0	0	0	0	1	0	1	1	1	0	1	1	1	1	0	1	0	1	1	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1
SAL_XA3156AA_AS	SAL_MA8252AA	PNUSAS029164	SRR6330606;ILLUMINA;Paired;;SRX3430027;469185882;199	SAL_MA8252AA	Human	Human	Age: 0-4; stool	2017	7	NA	NA	North America	United States	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PulseNet Next Generation Subtyping Methods Unit	NA	NA	PRJNA230403	SRP040281	SAMN08100451	SRS2721452	2017-11-30	2017-11-29	Assembled	98	370662	4774250	Salmonella enterica;76.79%	69	3651	3.61	SAL_XA3156AA_AS	99862	99862	4181	477	419	29	29	28	28	28	28	28	2	HC5-4181	https://raw.githubusercontent.com/maxlcummins/SG17-135/resubmission/flags/USA.png	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	0	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1
SAL_AB7542AA_AS	SAL_PA6185AA	293056	SRR7157827;ILLUMINA;Paired;;SRX4077043;;	SAL_PA6185AA	Human	Human	Homo sapiens; human	2016	8	NA	NA	Europe	United Kingdom	NA	NA	NA	NA	NA	NA	Agona	I	NA	NA	Public Health England	NA	NA	PRJNA248792	SRP042645	SAMN09203720	SRS3294621	2018-05-14	2018-05-13	Assembled	105	193602	4835185	Salmonella enterica;93.59%	77	50597	4	SAL_AB7542AA_AS	120628	120628	4181	477	419	29	29	28	28	28	28	28	2	HC5-4181	https://raw.githubusercontent.com/maxlcummins/SG17-135/resubmission/flags/United_Kindgom.png	0	1	0	0	0	0	0	0	1	0	1	0	1	0	1	1	1	1	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1
SAL_AB7534AA_AS	SAL_PA6193AA	107279	SRR7157819;ILLUMINA;Paired;;SRX4077035;;	SAL_PA6193AA	Human	Human	Homo sapiens; human	2015	4	NA	NA	Europe	United Kingdom	NA	NA	NA	NA	NA	NA	Agona	I	NA	NA	Public Health England	NA	NA	PRJNA248792	SRP042645	SAMN09203703	SRS3294613	2018-05-14	2018-05-13	Assembled	75	304447	4870720	Salmonella enterica;93.57%	81	16331	4	SAL_AB7534AA_AS	120635	7255	4181	477	419	29	29	28	28	28	28	28	2	HC5-4181	https://raw.githubusercontent.com/maxlcummins/SG17-135/resubmission/flags/United_Kindgom.png	0	1	1	0	0	0	0	0	1	1	1	0	1	0	1	1	1	1	0	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1
SAL_AB7634AA_AS	SAL_PA6346AA	PNUSAS040025	SRR7162777;ILLUMINA;Paired;;SRX4081075;;	SAL_PA6346AA	NA	NA	NA	NA	NA	NA	NA	North America	United States	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Centers for Disease Control and Prevention Enteric Diseases Laboratory Branch	NA	NA	PRJNA230403	SRP040281	SAMN09206672	SRS3298301	2018-05-15	2018-05-14	Assembled	223	383452	4789920	Salmonella enterica;95.46%	56	38315	4	SAL_AB7634AA_AS	120711	120711	4181	477	419	29	29	28	28	28	28	28	2	HC5-4181	https://raw.githubusercontent.com/maxlcummins/SG17-135/resubmission/flags/USA.png	0	1	0	0	0	0	0	0	1	0	1	0	1	0	1	1	1	1	0	1	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1
SAL_AB8884AA_AS	SAL_PA7469AA	19-30-18-8100405.D	traces-0rcnEcC;ILLUMINA;Paired;;NA;;	SAL_PA7469AA	NA	NA	NA	2018	NA	NA	NA	Europe	United Kingdom	Scotland	NA	NA	NA	NA	NA	NA	NA	NA	NA	D. Brown (Scotland)	NA	NA	NA	NA	NA	NA	2018-05-18	2018-11-20	Assembled	68	264211	4841241	Salmonella enterica;89.31%	105	64430	4	SAL_AB8884AA_AS	121094	7255	4181	477	419	29	29	28	28	28	28	28	2	HC5-4181	https://raw.githubusercontent.com/maxlcummins/SG17-135/resubmission/flags/United_Kindgom.png	0	1	0	0	0	0	0	0	1	0	1	0	1	0	1	1	1	1	0	1	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1
SAL_BB1424AA_AS	SAL_PA9932AA	21-18-18-8100451-Q	traces-0vqgSmC;ILLUMINA;Paired;;NA;;	SAL_PA9932AA	NA	NA	NA	2018	NA	NA	NA	Europe	United Kingdom	Scotland	NA	NA	NA	NA	NA	NA	NA	NA	NA	D. Brown (Scotland)	NA	NA	NA	NA	NA	NA	2018-06-01	2018-12-04	Assembled	129	358471	4803040	Salmonella enterica;100.0%	58	7613	4	SAL_BB1424AA_AS	122888	51775	4181	477	419	29	29	28	28	28	28	28	2	HC5-4181	https://raw.githubusercontent.com/maxlcummins/SG17-135/resubmission/flags/United_Kindgom.png	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1
