Query	Subject	Percent identity	Length	Mismatches	Gaps	Query start	Query end	Subject start	Subject end	Expect value	Bit score
NODE_112_length_117_cov_26.366667	IncX-SG17-135.gb	92.857	14	1	0	104	117	25146	25133	1.2	21.1
NODE_113_length_106_cov_61.789474	IncX-SG17-135.gb	100	12	0	0	54	65	19235	19246	0.31	22.9
NODE_113_length_106_cov_61.789474	IncX-SG17-135.gb	100	11	0	0	53	63	20808	20798	1.1	21.1
NODE_11_length_149060_cov_13.148007	IncX-SG17-135.gb	88.889	27	3	0	38325	38351	8047	8021	0.081	35.6
NODE_11_length_149060_cov_13.148007	IncX-SG17-135.gb	78.571	42	7	1	67611	67652	23010	23049	0.28	33.7
NODE_11_length_149060_cov_13.148007	IncX-SG17-135.gb	100	17	0	0	24123	24139	4453	4469	0.99	31.9
NODE_11_length_149060_cov_13.148007	IncX-SG17-135.gb	94.737	19	1	0	4665	4683	1176	1194	3.5	30.1
NODE_11_length_149060_cov_13.148007	IncX-SG17-135.gb	90.476	21	2	0	11054	11074	6869	6849	3.5	30.1
NODE_11_length_149060_cov_13.148007	IncX-SG17-135.gb	90.476	21	2	0	1254	1274	6968	6988	3.5	30.1
NODE_11_length_149060_cov_13.148007	IncX-SG17-135.gb	90.476	21	2	0	69789	69809	10757	10777	3.5	30.1
NODE_12_length_122599_cov_8.892500	IncX-SG17-135.gb	90.909	22	2	0	98386	98407	21640	21619	0.82	31.9
NODE_12_length_122599_cov_8.892500	IncX-SG17-135.gb	90.476	21	2	0	10944	10964	4196	4216	2.8	30.1
NODE_12_length_122599_cov_8.892500	IncX-SG17-135.gb	81.25	32	3	1	72793	72821	11062	11093	2.8	30.1
NODE_12_length_122599_cov_8.892500	IncX-SG17-135.gb	100	16	0	0	26948	26963	14653	14668	2.8	30.1
NODE_12_length_122599_cov_8.892500	IncX-SG17-135.gb	90.476	21	2	0	116780	116800	14726	14706	2.8	30.1
NODE_12_length_122599_cov_8.892500	IncX-SG17-135.gb	91.304	23	1	1	2641	2663	21078	21057	2.8	30.1
NODE_12_length_122599_cov_8.892500	IncX-SG17-135.gb	100	15	0	0	30914	30928	3920	3934	9.9	28.3
NODE_12_length_122599_cov_8.892500	IncX-SG17-135.gb	100	15	0	0	100267	100281	6994	6980	9.9	28.3
NODE_12_length_122599_cov_8.892500	IncX-SG17-135.gb	90	20	2	0	62203	62222	7306	7325	9.9	28.3
NODE_12_length_122599_cov_8.892500	IncX-SG17-135.gb	84	25	4	0	92314	92338	8166	8190	9.9	28.3
NODE_12_length_122599_cov_8.892500	IncX-SG17-135.gb	90	20	2	0	99403	99422	10897	10878	9.9	28.3
NODE_12_length_122599_cov_8.892500	IncX-SG17-135.gb	94.444	18	1	0	43755	43772	11433	11416	9.9	28.3
NODE_12_length_122599_cov_8.892500	IncX-SG17-135.gb	90	20	2	0	59849	59868	14865	14884	9.9	28.3
NODE_12_length_122599_cov_8.892500	IncX-SG17-135.gb	94.444	18	1	0	22522	22539	20945	20928	9.9	28.3
NODE_12_length_122599_cov_8.892500	IncX-SG17-135.gb	85.185	27	3	1	22726	22751	24053	24027	9.9	28.3
NODE_12_length_122599_cov_8.892500	IncX-SG17-135.gb	100	15	0	0	14045	14059	24670	24656	9.9	28.3
NODE_12_length_122599_cov_8.892500	IncX-SG17-135.gb	86.957	23	3	0	116708	116730	26700	26678	9.9	28.3
NODE_13_length_110651_cov_11.429986	IncX-SG17-135.gb	95.455	22	1	0	40278	40299	10757	10778	0.06	35.6
NODE_13_length_110651_cov_11.429986	IncX-SG17-135.gb	92.308	26	1	1	41528	41553	15780	15756	0.06	35.6
NODE_13_length_110651_cov_11.429986	IncX-SG17-135.gb	90.909	22	2	0	93835	93856	5561	5540	0.74	31.9
NODE_13_length_110651_cov_11.429986	IncX-SG17-135.gb	90.909	22	2	0	39780	39801	5663	5642	0.74	31.9
NODE_13_length_110651_cov_11.429986	IncX-SG17-135.gb	100	17	0	0	11009	11025	17961	17945	0.74	31.9
NODE_13_length_110651_cov_11.429986	IncX-SG17-135.gb	100	17	0	0	11009	11025	18630	18614	0.74	31.9
NODE_13_length_110651_cov_11.429986	IncX-SG17-135.gb	94.737	19	1	0	16522	16540	8152	8170	2.6	30.1
NODE_13_length_110651_cov_11.429986	IncX-SG17-135.gb	100	16	0	0	15142	15157	9488	9503	2.6	30.1
NODE_13_length_110651_cov_11.429986	IncX-SG17-135.gb	87.5	24	3	0	37429	37452	11981	12004	2.6	30.1
NODE_13_length_110651_cov_11.429986	IncX-SG17-135.gb	86.957	23	3	0	98590	98612	197	219	9	28.3
NODE_13_length_110651_cov_11.429986	IncX-SG17-135.gb	94.444	18	1	0	45966	45983	1747	1730	9	28.3
NODE_13_length_110651_cov_11.429986	IncX-SG17-135.gb	100	15	0	0	84702	84716	8014	8028	9	28.3
NODE_13_length_110651_cov_11.429986	IncX-SG17-135.gb	100	15	0	0	16315	16329	8041	8055	9	28.3
NODE_13_length_110651_cov_11.429986	IncX-SG17-135.gb	80	30	0	1	32486	32515	8803	8826	9	28.3
NODE_13_length_110651_cov_11.429986	IncX-SG17-135.gb	90	20	2	0	99323	99342	9317	9298	9	28.3
NODE_13_length_110651_cov_11.429986	IncX-SG17-135.gb	90	20	2	0	109707	109726	11419	11438	9	28.3
NODE_13_length_110651_cov_11.429986	IncX-SG17-135.gb	100	15	0	0	35736	35750	14212	14198	9	28.3
NODE_13_length_110651_cov_11.429986	IncX-SG17-135.gb	100	15	0	0	81281	81295	17962	17948	9	28.3
NODE_13_length_110651_cov_11.429986	IncX-SG17-135.gb	100	15	0	0	81281	81295	18631	18617	9	28.3
NODE_13_length_110651_cov_11.429986	IncX-SG17-135.gb	100	15	0	0	87825	87839	19287	19301	9	28.3
NODE_13_length_110651_cov_11.429986	IncX-SG17-135.gb	90	20	2	0	62171	62190	20466	20447	9	28.3
NODE_13_length_110651_cov_11.429986	IncX-SG17-135.gb	90	20	2	0	17669	17688	21077	21058	9	28.3
NODE_13_length_110651_cov_11.429986	IncX-SG17-135.gb	86.957	23	3	0	70302	70324	22121	22143	9	28.3
NODE_13_length_110651_cov_11.429986	IncX-SG17-135.gb	84	25	4	0	103136	103160	26539	26563	9	28.3
NODE_14_length_95049_cov_11.243150	IncX-SG17-135.gb	95.455	22	1	0	11764	11785	12921	12942	0.052	35.6
NODE_14_length_95049_cov_11.243150	IncX-SG17-135.gb	90.909	22	2	0	78649	78670	351	330	0.63	31.9
NODE_14_length_95049_cov_11.243150	IncX-SG17-135.gb	94.737	19	1	0	20133	20151	1797	1815	2.2	30.1
NODE_14_length_95049_cov_11.243150	IncX-SG17-135.gb	84.615	26	4	0	45271	45296	7404	7429	2.2	30.1
NODE_14_length_95049_cov_11.243150	IncX-SG17-135.gb	94.737	19	1	0	65243	65261	16309	16291	2.2	30.1
NODE_14_length_95049_cov_11.243150	IncX-SG17-135.gb	100	16	0	0	28763	28778	20367	20382	2.2	30.1
NODE_14_length_95049_cov_11.243150	IncX-SG17-135.gb	100	16	0	0	20044	20059	23108	23123	2.2	30.1
NODE_14_length_95049_cov_11.243150	IncX-SG17-135.gb	86.957	23	3	0	40733	40755	8042	8020	7.7	28.3
NODE_14_length_95049_cov_11.243150	IncX-SG17-135.gb	94.444	18	1	0	76311	76328	12536	12553	7.7	28.3
NODE_14_length_95049_cov_11.243150	IncX-SG17-135.gb	94.444	18	1	0	50483	50500	15025	15008	7.7	28.3
NODE_14_length_95049_cov_11.243150	IncX-SG17-135.gb	100	15	0	0	18862	18876	15646	15632	7.7	28.3
NODE_14_length_95049_cov_11.243150	IncX-SG17-135.gb	90	20	2	0	14492	14511	15759	15740	7.7	28.3
NODE_14_length_95049_cov_11.243150	IncX-SG17-135.gb	100	15	0	0	17468	17482	16094	16108	7.7	28.3
NODE_14_length_95049_cov_11.243150	IncX-SG17-135.gb	100	15	0	0	36958	36972	21496	21510	7.7	28.3
NODE_15_length_92589_cov_13.027470	IncX-SG17-135.gb	91.304	23	2	0	60450	60472	20926	20948	0.18	33.7
NODE_15_length_92589_cov_13.027470	IncX-SG17-135.gb	100	17	0	0	34754	34770	4645	4661	0.62	31.9
NODE_15_length_92589_cov_13.027470	IncX-SG17-135.gb	88	25	3	0	43644	43668	8561	8537	0.62	31.9
NODE_15_length_92589_cov_13.027470	IncX-SG17-135.gb	95	20	1	0	83579	83598	11656	11675	0.62	31.9
NODE_15_length_92589_cov_13.027470	IncX-SG17-135.gb	91.304	23	1	1	82516	82538	9260	9239	2.2	30.1
NODE_15_length_92589_cov_13.027470	IncX-SG17-135.gb	100	16	0	0	67275	67290	10476	10491	2.2	30.1
NODE_15_length_92589_cov_13.027470	IncX-SG17-135.gb	84.615	26	4	0	20844	20869	13514	13539	2.2	30.1
NODE_15_length_92589_cov_13.027470	IncX-SG17-135.gb	94.737	19	1	0	32177	32195	21674	21656	2.2	30.1
NODE_15_length_92589_cov_13.027470	IncX-SG17-135.gb	94.444	18	1	0	9661	9678	2292	2275	7.5	28.3
NODE_15_length_92589_cov_13.027470	IncX-SG17-135.gb	84	25	4	0	38674	38698	8255	8279	7.5	28.3
NODE_15_length_92589_cov_13.027470	IncX-SG17-135.gb	95	20	0	1	31141	31160	9432	9414	7.5	28.3
NODE_15_length_92589_cov_13.027470	IncX-SG17-135.gb	100	15	0	0	61514	61528	11194	11180	7.5	28.3
NODE_15_length_92589_cov_13.027470	IncX-SG17-135.gb	100	15	0	0	50433	50447	11514	11528	7.5	28.3
NODE_15_length_92589_cov_13.027470	IncX-SG17-135.gb	86.957	23	3	0	51781	51803	19292	19314	7.5	28.3
NODE_15_length_92589_cov_13.027470	IncX-SG17-135.gb	80	35	1	2	55519	55548	20377	20344	7.5	28.3
NODE_15_length_92589_cov_13.027470	IncX-SG17-135.gb	100	15	0	0	62875	62889	22752	22766	7.5	28.3
NODE_15_length_92589_cov_13.027470	IncX-SG17-135.gb	100	15	0	0	62875	62889	24827	24841	7.5	28.3
NODE_15_length_92589_cov_13.027470	IncX-SG17-135.gb	100	15	0	0	65311	65325	27194	27180	7.5	28.3
NODE_16_length_90492_cov_8.987855	IncX-SG17-135.gb	83.333	30	5	0	39399	39428	20008	19979	0.6	31.9
NODE_16_length_90492_cov_8.987855	IncX-SG17-135.gb	84.615	26	4	0	8857	8882	10777	10802	2.1	30.1
NODE_16_length_90492_cov_8.987855	IncX-SG17-135.gb	81.081	37	4	2	24827	24860	11698	11734	2.1	30.1
NODE_16_length_90492_cov_8.987855	IncX-SG17-135.gb	94.737	19	1	0	74081	74099	19917	19899	2.1	30.1
NODE_16_length_90492_cov_8.987855	IncX-SG17-135.gb	100	15	0	0	48617	48631	7154	7168	7.3	28.3
NODE_16_length_90492_cov_8.987855	IncX-SG17-135.gb	87.5	24	1	1	45841	45862	11075	11098	7.3	28.3
NODE_16_length_90492_cov_8.987855	IncX-SG17-135.gb	95	20	0	1	20695	20714	12674	12656	7.3	28.3
NODE_16_length_90492_cov_8.987855	IncX-SG17-135.gb	100	15	0	0	81609	81623	14070	14084	7.3	28.3
NODE_16_length_90492_cov_8.987855	IncX-SG17-135.gb	100	15	0	0	12839	12853	15367	15381	7.3	28.3
NODE_16_length_90492_cov_8.987855	IncX-SG17-135.gb	100	15	0	0	72480	72494	17809	17823	7.3	28.3
NODE_16_length_90492_cov_8.987855	IncX-SG17-135.gb	100	15	0	0	72480	72494	18478	18492	7.3	28.3
NODE_16_length_90492_cov_8.987855	IncX-SG17-135.gb	73.214	56	12	2	59278	59331	23057	23003	7.3	28.3
NODE_17_length_79663_cov_13.493918	IncX-SG17-135.gb	100	18	0	0	70958	70975	20139	20122	0.15	33.7
NODE_17_length_79663_cov_13.493918	IncX-SG17-135.gb	100	16	0	0	42701	42716	6864	6849	1.8	30.1
NODE_17_length_79663_cov_13.493918	IncX-SG17-135.gb	94.737	19	1	0	51458	51476	9542	9560	1.8	30.1
NODE_17_length_79663_cov_13.493918	IncX-SG17-135.gb	100	16	0	0	61819	61834	14289	14274	1.8	30.1
NODE_17_length_79663_cov_13.493918	IncX-SG17-135.gb	84.615	26	4	0	46459	46484	14853	14878	1.8	30.1
NODE_17_length_79663_cov_13.493918	IncX-SG17-135.gb	90.476	21	2	0	60498	60518	17514	17534	1.8	30.1
NODE_17_length_79663_cov_13.493918	IncX-SG17-135.gb	88	25	2	1	77387	77411	1723	1746	6.5	28.3
NODE_17_length_79663_cov_13.493918	IncX-SG17-135.gb	94.444	18	1	0	17663	17680	10402	10385	6.5	28.3
NODE_17_length_79663_cov_13.493918	IncX-SG17-135.gb	94.444	18	1	0	42118	42135	11092	11075	6.5	28.3
NODE_17_length_79663_cov_13.493918	IncX-SG17-135.gb	90	20	2	0	70457	70476	15204	15185	6.5	28.3
NODE_17_length_79663_cov_13.493918	IncX-SG17-135.gb	100	15	0	0	51218	51232	16161	16147	6.5	28.3
NODE_17_length_79663_cov_13.493918	IncX-SG17-135.gb	90	20	2	0	2621	2640	16965	16984	6.5	28.3
NODE_17_length_79663_cov_13.493918	IncX-SG17-135.gb	90	20	2	0	76529	76548	17551	17570	6.5	28.3
NODE_17_length_79663_cov_13.493918	IncX-SG17-135.gb	86.957	23	3	0	56927	56949	17894	17916	6.5	28.3
NODE_17_length_79663_cov_13.493918	IncX-SG17-135.gb	86.957	23	3	0	56927	56949	18563	18585	6.5	28.3
NODE_17_length_79663_cov_13.493918	IncX-SG17-135.gb	100	15	0	0	22085	22099	23109	23095	6.5	28.3
NODE_17_length_79663_cov_13.493918	IncX-SG17-135.gb	100	15	0	0	37215	37229	27261	27247	6.5	28.3
NODE_18_length_79243_cov_9.343613	IncX-SG17-135.gb	100	18	0	0	31023	31040	10660	10643	0.15	33.7
NODE_18_length_79243_cov_9.343613	IncX-SG17-135.gb	95	20	1	0	22640	22659	8379	8398	0.53	31.9
NODE_18_length_79243_cov_9.343613	IncX-SG17-135.gb	84.615	26	4	0	63963	63988	6263	6288	1.8	30.1
NODE_18_length_79243_cov_9.343613	IncX-SG17-135.gb	91.304	23	1	1	74727	74749	10901	10880	1.8	30.1
NODE_18_length_79243_cov_9.343613	IncX-SG17-135.gb	100	16	0	0	25890	25905	14123	14138	1.8	30.1
NODE_18_length_79243_cov_9.343613	IncX-SG17-135.gb	100	15	0	0	1159	1173	5098	5112	6.4	28.3
NODE_18_length_79243_cov_9.343613	IncX-SG17-135.gb	86.957	23	3	0	70623	70645	14851	14829	6.4	28.3
NODE_18_length_79243_cov_9.343613	IncX-SG17-135.gb	100	15	0	0	845	859	22552	22538	6.4	28.3
NODE_19_length_78831_cov_8.082470	IncX-SG17-135.gb	88.462	26	1	1	33203	33228	14150	14173	0.52	31.9
NODE_19_length_78831_cov_8.082470	IncX-SG17-135.gb	100	17	0	0	4830	4846	23798	23782	0.52	31.9
NODE_19_length_78831_cov_8.082470	IncX-SG17-135.gb	94.737	19	1	0	18470	18488	715	733	1.8	30.1
NODE_19_length_78831_cov_8.082470	IncX-SG17-135.gb	84.615	26	4	0	74682	74707	1737	1762	1.8	30.1
NODE_19_length_78831_cov_8.082470	IncX-SG17-135.gb	100	16	0	0	32245	32260	12735	12720	1.8	30.1
NODE_19_length_78831_cov_8.082470	IncX-SG17-135.gb	100	16	0	0	8715	8730	23527	23512	1.8	30.1
NODE_19_length_78831_cov_8.082470	IncX-SG17-135.gb	100	16	0	0	25599	25614	26522	26537	1.8	30.1
NODE_19_length_78831_cov_8.082470	IncX-SG17-135.gb	90	20	2	0	6511	6530	1056	1037	6.4	28.3
NODE_19_length_78831_cov_8.082470	IncX-SG17-135.gb	94.444	18	1	0	5173	5190	1371	1354	6.4	28.3
NODE_19_length_78831_cov_8.082470	IncX-SG17-135.gb	86.957	23	3	0	11942	11964	1876	1898	6.4	28.3
NODE_19_length_78831_cov_8.082470	IncX-SG17-135.gb	100	15	0	0	8577	8591	4649	4663	6.4	28.3
NODE_19_length_78831_cov_8.082470	IncX-SG17-135.gb	84	25	4	0	32732	32756	7336	7312	6.4	28.3
NODE_19_length_78831_cov_8.082470	IncX-SG17-135.gb	100	15	0	0	21611	21625	9376	9390	6.4	28.3
NODE_19_length_78831_cov_8.082470	IncX-SG17-135.gb	100	15	0	0	62725	62739	11484	11470	6.4	28.3
NODE_19_length_78831_cov_8.082470	IncX-SG17-135.gb	94.444	18	1	0	44958	44975	12533	12550	6.4	28.3
NODE_19_length_78831_cov_8.082470	IncX-SG17-135.gb	100	15	0	0	66221	66235	17722	17736	6.4	28.3
NODE_19_length_78831_cov_8.082470	IncX-SG17-135.gb	100	15	0	0	66221	66235	18391	18405	6.4	28.3
NODE_19_length_78831_cov_8.082470	IncX-SG17-135.gb	94.444	18	1	0	45158	45175	24689	24672	6.4	28.3
NODE_19_length_78831_cov_8.082470	IncX-SG17-135.gb	84	25	4	0	33702	33726	26679	26703	6.4	28.3
NODE_1_length_527818_cov_10.608634	IncX-SG17-135.gb	92.593	27	1	1	297332	297358	3170	3195	0.083	37.4
NODE_1_length_527818_cov_10.608634	IncX-SG17-135.gb	92	25	2	0	207863	207887	22821	22845	0.083	37.4
NODE_1_length_527818_cov_10.608634	IncX-SG17-135.gb	92	25	2	0	207863	207887	24896	24920	0.083	37.4
NODE_1_length_527818_cov_10.608634	IncX-SG17-135.gb	91.667	24	2	0	136135	136158	2636	2659	0.29	35.6
NODE_1_length_527818_cov_10.608634	IncX-SG17-135.gb	100	19	0	0	157092	157110	9434	9416	0.29	35.6
NODE_1_length_527818_cov_10.608634	IncX-SG17-135.gb	95.238	21	1	0	322567	322587	20404	20384	1	33.7
NODE_1_length_527818_cov_10.608634	IncX-SG17-135.gb	95.238	21	1	0	207933	207953	22905	22925	1	33.7
NODE_1_length_527818_cov_10.608634	IncX-SG17-135.gb	95.238	21	1	0	207584	207604	23939	23959	1	33.7
NODE_1_length_527818_cov_10.608634	IncX-SG17-135.gb	95	20	1	0	366583	366602	1484	1465	3.5	31.9
NODE_1_length_527818_cov_10.608634	IncX-SG17-135.gb	90.909	22	2	0	282942	282963	5475	5496	3.5	31.9
NODE_1_length_527818_cov_10.608634	IncX-SG17-135.gb	95	20	1	0	2351	2370	7643	7662	3.5	31.9
NODE_1_length_527818_cov_10.608634	IncX-SG17-135.gb	83.871	31	3	1	148770	148800	9158	9130	3.5	31.9
NODE_1_length_527818_cov_10.608634	IncX-SG17-135.gb	83.333	30	5	0	217300	217329	10983	11012	3.5	31.9
NODE_1_length_527818_cov_10.608634	IncX-SG17-135.gb	95	20	1	0	221707	221726	13095	13114	3.5	31.9
NODE_1_length_527818_cov_10.608634	IncX-SG17-135.gb	91.667	24	1	1	426429	426452	13203	13225	3.5	31.9
NODE_1_length_527818_cov_10.608634	IncX-SG17-135.gb	100	17	0	0	147966	147982	19253	19237	3.5	31.9
NODE_1_length_527818_cov_10.608634	IncX-SG17-135.gb	100	17	0	0	159942	159958	22741	22725	3.5	31.9
NODE_1_length_527818_cov_10.608634	IncX-SG17-135.gb	100	17	0	0	221328	221344	24803	24787	3.5	31.9
NODE_20_length_74971_cov_9.125701	IncX-SG17-135.gb	83.871	31	3	1	59630	59658	6991	6961	0.5	31.9
NODE_20_length_74971_cov_9.125701	IncX-SG17-135.gb	83.333	30	5	0	48678	48707	9159	9130	0.5	31.9
NODE_20_length_74971_cov_9.125701	IncX-SG17-135.gb	90.909	22	2	0	24362	24383	19722	19743	0.5	31.9
NODE_20_length_74971_cov_9.125701	IncX-SG17-135.gb	100	16	0	0	59566	59581	7169	7184	1.7	30.1
NODE_20_length_74971_cov_9.125701	IncX-SG17-135.gb	87.5	24	3	0	74656	74679	7213	7236	1.7	30.1
NODE_20_length_74971_cov_9.125701	IncX-SG17-135.gb	90.476	21	2	0	73571	73591	9324	9344	1.7	30.1
NODE_20_length_74971_cov_9.125701	IncX-SG17-135.gb	100	15	0	0	13805	13819	455	469	6.1	28.3
NODE_20_length_74971_cov_9.125701	IncX-SG17-135.gb	90	20	2	0	39047	39066	10745	10726	6.1	28.3
NODE_20_length_74971_cov_9.125701	IncX-SG17-135.gb	100	15	0	0	32210	32224	10990	11004	6.1	28.3
NODE_20_length_74971_cov_9.125701	IncX-SG17-135.gb	94.444	18	1	0	20411	20428	13291	13274	6.1	28.3
NODE_20_length_74971_cov_9.125701	IncX-SG17-135.gb	94.444	18	1	0	37784	37801	15920	15903	6.1	28.3
NODE_20_length_74971_cov_9.125701	IncX-SG17-135.gb	90	20	2	0	55061	55080	21586	21605	6.1	28.3
NODE_20_length_74971_cov_9.125701	IncX-SG17-135.gb	94.444	18	1	0	51422	51439	23064	23047	6.1	28.3
NODE_21_length_73749_cov_12.197334	IncX-SG17-135.gb	95	20	1	0	20356	20375	3697	3678	0.49	31.9
NODE_21_length_73749_cov_12.197334	IncX-SG17-135.gb	100	15	0	0	23431	23445	15173	15159	6	28.3
NODE_21_length_73749_cov_12.197334	IncX-SG17-135.gb	100	15	0	0	66005	66019	18210	18196	6	28.3
NODE_21_length_73749_cov_12.197334	IncX-SG17-135.gb	100	15	0	0	66005	66019	18879	18865	6	28.3
NODE_21_length_73749_cov_12.197334	IncX-SG17-135.gb	100	15	0	0	40578	40592	19994	19980	6	28.3
NODE_21_length_73749_cov_12.197334	IncX-SG17-135.gb	94.444	18	1	0	50745	50762	24807	24790	6	28.3
NODE_21_length_73749_cov_12.197334	IncX-SG17-135.gb	100	15	0	0	31349	31363	26538	26524	6	28.3
NODE_22_length_62530_cov_11.834553	IncX-SG17-135.gb	86.667	30	4	0	34052	34081	8426	8455	0.01	37.4
NODE_22_length_62530_cov_11.834553	IncX-SG17-135.gb	94.737	19	1	0	46263	46281	4000	3982	1.5	30.1
NODE_22_length_62530_cov_11.834553	IncX-SG17-135.gb	76.923	39	9	0	48893	48931	9356	9318	1.5	30.1
NODE_22_length_62530_cov_11.834553	IncX-SG17-135.gb	100	16	0	0	29231	29246	11277	11292	1.5	30.1
NODE_22_length_62530_cov_11.834553	IncX-SG17-135.gb	88.462	26	2	1	19780	19804	16571	16596	1.5	30.1
NODE_22_length_62530_cov_11.834553	IncX-SG17-135.gb	90.476	21	2	0	46561	46581	22473	22493	1.5	30.1
NODE_22_length_62530_cov_11.834553	IncX-SG17-135.gb	90.476	21	2	0	46561	46581	24548	24568	1.5	30.1
NODE_22_length_62530_cov_11.834553	IncX-SG17-135.gb	100	15	0	0	33404	33418	24	10	5.1	28.3
NODE_22_length_62530_cov_11.834553	IncX-SG17-135.gb	94.444	18	1	0	24072	24089	445	428	5.1	28.3
NODE_22_length_62530_cov_11.834553	IncX-SG17-135.gb	94.444	18	1	0	24395	24412	1134	1117	5.1	28.3
NODE_22_length_62530_cov_11.834553	IncX-SG17-135.gb	94.444	18	1	0	29666	29683	2172	2189	5.1	28.3
NODE_22_length_62530_cov_11.834553	IncX-SG17-135.gb	90	20	2	0	46675	46694	3906	3925	5.1	28.3
NODE_22_length_62530_cov_11.834553	IncX-SG17-135.gb	84	25	4	0	33609	33633	11664	11640	5.1	28.3
NODE_22_length_62530_cov_11.834553	IncX-SG17-135.gb	90	20	2	0	35330	35349	13065	13084	5.1	28.3
NODE_22_length_62530_cov_11.834553	IncX-SG17-135.gb	94.444	18	1	0	40539	40556	17340	17323	5.1	28.3
NODE_23_length_60294_cov_13.364708	IncX-SG17-135.gb	91.304	23	2	0	26006	26028	10305	10283	0.11	33.7
